planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass
Kepler-1051 b;1;25.96182465;;;;;;;;6499.30;1.44;1.33
Kepler-1051 b;1;25.96200249;0.179200;2.450;89.950;0.000000;94.31;;795;6784.00;1.26;1.14
Kepler-1051 b;1;25.96180896;;;;;;;;6499.30;1.44;1.33
Kepler-1051 b;1;25.96200249;0.183950;2.727;;;88.70;;;6417.00;1.41;1.23
Kepler-1051 b;1;25.96264000;0.188000;2.500;87.660;0.000000;;;797;6797.00;1.33;1.31
Kepler-1051 b;1;25.96190067;0.189100;3.250;89.960;0.000000;123.11;;850;6369.00;1.73;1.34
Kepler-1052 b;1;34.85382760;0.209880;2.676;;;19.00;;;5738.00;0.93;1.01
Kepler-1052 b;1;34.85382760;0.204500;2.450;89.950;0.000000;17.80;;524;5835.00;0.85;0.94
Kepler-1052 b;1;34.85333000;0.208000;2.710;88.810;0.000000;;;530;5836.00;0.88;0.99
Kepler-1052 b;1;;;2.693;;;20.98;;;5738.00;0.95;
Kepler-1052 b;1;34.85369030;0.204600;2.400;89.370;0.000000;17.62;;522;5818.00;0.85;0.94
Kepler-1052 b;1;34.85379936;;;;;;;;5720.00;0.96;1.02
Kepler-1052 b;1;34.85382760;0.204500;2.450;89.950;0.000000;17.80;;524;5835.00;0.85;0.94
Kepler-1052 b;1;34.85382925;;;;;;;;5720.00;0.96;1.02
Kepler-1052 b;1;34.85382760;0.204500;2.450;89.950;0.000000;17.80;;524;5835.00;0.85;0.94
Kepler-1052 b;1;34.85369030;;;;;;;;5720.00;0.96;1.02
Kepler-1052 b;1;34.85382760;;2.930;;;;;;5888.00;1.03;1.03
Kepler-1052 c;1;180.92172900;0.613500;2.300;89.990;0.000000;1.96;;302;5818.00;0.85;0.94
Kepler-1052 c;1;180.92172900;;;;;;;;5720.00;0.96;1.02
Kepler-1052 c;1;180.92477000;0.629190;2.455;;;2.10;;;5738.00;0.93;1.01
Kepler-1052 c;1;180.92599490;;2.368;;;;;;5818.00;0.85;0.94
Kepler-1052 c;1;180.92477000;0.613000;2.240;89.950;0.000000;1.98;;303;5835.00;0.85;0.94
Kepler-1053 b;1;2.41435165;;980;;;;;;4529.00;0.69;0.74
Kepler-1053 b;1;2.41434403;;;;;;;;4405.22;0.61;0.69
Kepler-1053 b;1;2.41434868;0.031500;970;89.120;0.000000;195.08;;953;4507.00;0.72;0.71
Kepler-1053 b;1;2.41434868;;;;;;;;4405.22;0.61;0.69
Kepler-1053 b;1;;;824;;;139.82;;;4500.00;0.61;
Kepler-1053 b;1;2.41435165;0.028600;780;88.810;0.000000;98.31;;803;4182.00;0.54;0.53
Kepler-1053 b;1;2.41435261;;;;;;;;4405.22;0.61;0.69
Kepler-1053 b;1;2.41435165;0.028600;780;88.810;0.000000;98.31;;803;4182.00;0.54;0.53
Kepler-1053 b;1;2.41436000;0.030000;860;85.370;0.000000;;;815;4286.00;0.56;0.59
Kepler-1053 b;1;2.41435165;0.028600;780;88.810;0.000000;98.31;;803;4182.00;0.54;0.53
Kepler-1054 b;1;4.30655689;0.055420;2.680;;;685.20;;;5909.00;1.39;1.22
Kepler-1054 b;1;4.30656157;;;;;;;;5905.00;1.46;1.07
Kepler-1054 b;1;4.30655689;0.054000;1.990;77.920;0.000000;453.20;;1177;6108.00;1.03;1.13
Kepler-1054 b;1;4.30655689;0.054000;1.990;77.920;0.000000;453.20;;1177;6108.00;1.03;1.13
Kepler-1054 b;1;4.30643000;0.053000;1.500;84.800;0.000000;;;1072;5866.00;0.91;1.06
Kepler-1054 b;1;4.30655689;;2.630;;;;;;6209.00;1.34;1.22
Kepler-1054 b;1;4.30656389;0.054000;1.950;77.070;0.000000;453.20;;1177;6108.00;1.03;1.13
Kepler-1054 b;1;;;2.689;;;760.52;;;5909.00;1.42;
Kepler-1054 b;1;4.30655689;0.054000;1.990;77.920;0.000000;453.20;;1177;6108.00;1.03;1.13
Kepler-1054 b;1;4.30656389;;;;;;;;5905.00;1.46;1.07
Kepler-1055 b;1;2.29502600;0.034000;1.310;82.510;0.000000;;;1306;5782.00;0.89;0.96
Kepler-1055 b;1;2.29503623;0.032300;1.090;89.380;0.000000;653.80;;1290;5750.00;0.83;0.85
Kepler-1055 b;1;2.29503623;;1.230;;;;;;5723.00;0.94;0.98
Kepler-1055 b;1;2.29503623;0.032300;1.090;89.380;0.000000;653.80;;1290;5750.00;0.83;0.85
Kepler-1055 b;1;;;1.134;;;647.26;;;5682.00;0.87;
Kepler-1055 b;1;2.29503970;;;;;;;;5681.94;0.87;1.01
Kepler-1055 b;1;2.29503623;0.032300;1.090;89.380;0.000000;653.80;;1290;5750.00;0.83;0.85
Kepler-1055 b;1;2.29503026;;;;;;;;5681.94;0.87;1.01
Kepler-1055 b;1;2.29503623;0.033500;1.127;;;618.70;;;5682.00;0.86;0.95
Kepler-1055 b;1;2.29503515;0.033100;1.180;89.140;0.000000;681.51;;1304;5637.00;0.91;0.91
Kepler-1055 b;1;2.29503515;;;;;;;;5681.94;0.87;1.01
Kepler-1056 b;1;27.49568902;;;;;;;;6071.70;1.17;1.13
Kepler-1056 b;1;;;2.979;;;56.91;;;5651.00;1.28;
Kepler-1056 b;1;27.49560600;0.162900;2.320;88.240;0.000000;28.66;;590;5657.00;0.91;0.76
Kepler-1056 b;1;27.49560600;;3.010;;;;;;6127.00;1.20;1.12
Kepler-1056 b;1;27.49560600;0.162900;2.320;88.240;0.000000;28.66;;590;5657.00;0.91;0.76
Kepler-1056 b;1;27.49563400;;;;;;;;6071.70;1.17;1.13
Kepler-1056 b;1;27.49563400;0.162900;2.110;88.870;0.000000;28.66;;590;5657.00;0.91;0.76
Kepler-1056 b;1;27.49560600;0.162900;2.320;88.240;0.000000;28.66;;590;5657.00;0.91;0.76
Kepler-1056 b;1;27.49540000;0.172000;2.600;88.810;0.000000;;;617;5707.00;1.03;0.90
Kepler-1056 b;1;27.49583745;;;;;;;;6071.70;1.17;1.13
Kepler-1057 b;1;14.08826442;0.113800;2.660;89.710;0.000000;64.97;;724;5853.00;0.90;0.99
Kepler-1057 b;1;14.08830133;;;;;;;;6014.00;0.92;1.11
Kepler-1057 b;1;14.08827448;0.113800;2.750;89.380;0.000000;64.97;;724;5853.00;0.90;0.99
Kepler-1057 b;1;14.08827448;;3.360;;;;;;5987.00;1.10;1.07
Kepler-1057 b;1;14.08825329;;;;;;;;6014.00;0.92;1.11
Kepler-1057 b;1;14.08827448;0.113800;2.750;89.380;0.000000;64.97;;724;5853.00;0.90;0.99
Kepler-1057 b;1;14.08818000;0.114000;2.700;88.240;0.000000;;;715;5831.00;0.88;0.99
Kepler-1057 b;1;14.08826442;;;;;;;;6014.00;0.92;1.11
Kepler-1057 b;1;14.08827448;0.113800;2.750;89.380;0.000000;64.97;;724;5853.00;0.90;0.99
Kepler-1057 b;1;;;2.742;;;69.21;;;5852.00;0.92;
Kepler-1058 b;1;110.96546000;0.367900;2.120;89.380;0.000000;0.77;;239;4441.00;0.55;0.54
Kepler-1058 b;1;110.96550000;0.391000;2.600;88.810;0.000000;;;254;4580.00;0.62;0.65
Kepler-1058 b;1;110.96546000;0.367900;2.120;89.380;0.000000;0.77;;239;4441.00;0.55;0.54
Kepler-1058 b;1;110.96546000;0.367900;2.120;89.380;0.000000;0.77;;239;4441.00;0.55;0.54
Kepler-1058 b;1;110.96437060;;;;;;;;4517.79;;
Kepler-1058 b;1;110.96426331;;;;;;;;4517.79;;
Kepler-1058 b;1;110.96346088;;;;;;;;4517.79;;
Kepler-1058 b;1;110.96437060;0.367900;2.110;89.140;0.000000;0.77;;239;4441.00;0.55;0.54
Kepler-1058 b;1;110.96546000;;2.720;;;;;;4644.00;0.69;0.73
Kepler-1059 b;1;3.76419737;;;;;;;;4855.00;0.78;0.79
Kepler-1059 b;1;3.76416200;0.044000;1.570;87.660;0.000000;;;821;4883.00;0.64;0.82
Kepler-1059 b;1;3.76419105;0.044000;1.740;89.380;0.000000;161.24;;909;5065.00;0.73;0.81
Kepler-1059 b;1;3.76418097;;;;;;;;4855.00;0.78;0.79
Kepler-1059 b;1;3.76419105;;1.730;;;;;;4906.00;0.72;0.75
Kepler-1059 b;1;;;1.757;;;174.07;;;5068.00;0.75;
Kepler-1059 b;1;3.76419105;0.044000;1.740;89.380;0.000000;161.24;;909;5065.00;0.73;0.81
Kepler-1059 b;1;3.76417012;0.044000;1.700;88.830;0.000000;160.99;;908;5063.00;0.73;0.81
Kepler-1059 b;1;3.76419105;0.044000;1.740;89.380;0.000000;161.24;;909;5065.00;0.73;0.81
Kepler-1059 b;1;3.76417012;;;;;;;;4855.00;0.78;0.79
Kepler-106 b;1;6.16491696;0.064600;850;87.660;0.000000;271.63;;1035;5881.00;1.03;0.94
Kepler-106 b;1;6.16487649;;;;;;;;5888.00;1.06;1.07
Kepler-106 b;1;6.16487600;;;;;;;;5888.00;1.06;1.07
Kepler-106 b;1;6.16491696;0.064910;860;;;274.80;;;5860.00;1.05;0.96
Kepler-106 b;1;6.16491696;;920;;;;;;5955.00;1.05;1.05
Kepler-106 b;1;6.16491696;0.064600;850;87.660;0.000000;271.63;;1035;5881.00;1.03;0.94
Kepler-106 b;1;6.16500000;0.066000;810;87.660;0.000000;;;1025;5865.00;1.04;1.00
Kepler-106 b;1;6.16491696;0.064600;850;87.660;0.000000;271.63;;1035;5881.00;1.03;0.94
Kepler-106 b;1;6.16487600;0.064800;790;86.690;0.000000;256.35;;1021;5854.00;1.01;0.95
Kepler-106 b;1;;;823;;;277.22;;;5860.00;1.05;
Kepler-106 b;1;6.16486000;;820;;;;;;5858.00;1.04;1.00
Kepler-106 b;1;6.16491696;0.064888;860;;0.000000;;;;;;0.96
Kepler-106 c;1;13.57078332;;;;;;;;5888.00;1.06;1.07
Kepler-106 c;1;13.57078354;;;;;;;;5888.00;1.06;1.07
Kepler-106 c;1;13.57073300;0.111000;2.470;88.240;0.000000;;;791;5865.00;1.04;1.00
Kepler-106 c;1;13.57078281;;;;;;;;5888.00;1.06;1.07
Kepler-106 c;1;;;2.737;;;96.91;;;5860.00;1.05;
Kepler-106 c;1;13.57076622;0.109803;2.387;;0.000000;;3.673;;;;0.96
Kepler-106 c;1;13.57076622;0.109300;2.350;89.950;0.000000;94.89;;796;5881.00;1.03;0.94
Kepler-106 c;1;13.57080000;;2.500;;;;2.710;;5858.00;1.04;1.00
Kepler-106 c;1;13.57076622;0.109870;2.387;;;95.80;;;5860.00;1.05;0.96
Kepler-106 c;1;13.57078281;0.109600;2.640;87.070;0.000000;89.61;;785;5854.00;1.01;0.95
Kepler-106 c;1;13.57076622;0.109300;2.350;89.950;0.000000;94.89;;796;5881.00;1.03;0.94
Kepler-106 c;1;13.57076622;;2.410;;;;;;5955.00;1.05;1.05
Kepler-106 c;1;13.57076622;0.109300;2.350;89.950;0.000000;94.89;;796;5881.00;1.03;0.94
Kepler-106 d;1;23.98020000;;950;;;;;;5858.00;1.04;1.00
Kepler-106 d;1;23.97923476;;;;;;;;5888.00;1.06;1.07
Kepler-106 d;1;23.98008540;;;;;;;;5888.00;1.06;1.07
Kepler-106 d;1;23.98023480;0.160630;1.008;;;44.80;;;5860.00;1.05;0.96
Kepler-106 d;1;23.98008540;0.160200;1.310;85.450;0.000000;41.94;;649;5854.00;1.01;0.95
Kepler-106 d;1;23.98023480;0.159700;990;89.380;0.000000;44.45;;658;5881.00;1.03;0.94
Kepler-106 d;1;23.98059000;0.163000;930;89.380;0.000000;;;653;5865.00;1.04;1.00
Kepler-106 d;1;;;1.360;;;45.36;;;5860.00;1.05;
Kepler-106 d;1;23.98023480;0.160490;1.008;;0.000000;;;;;;0.96
Kepler-106 d;1;23.98023480;;1.030;;;;;;5955.00;1.05;1.05
Kepler-106 d;1;23.98023480;0.159700;990;89.380;0.000000;44.45;;658;5881.00;1.03;0.94
Kepler-106 d;1;23.98023480;0.159700;990;89.380;0.000000;44.45;;658;5881.00;1.03;0.94
Kepler-106 e;1;43.84437655;;;;;;;;5888.00;1.06;1.07
Kepler-106 e;1;43.84439721;;;;;;;;5888.00;1.06;1.07
Kepler-106 e;1;43.84444353;;2.630;;;;;;5955.00;1.05;1.05
Kepler-106 e;1;43.84449588;;;;;;;;5888.00;1.06;1.07
Kepler-106 e;1;43.84444353;0.238800;2.580;89.380;0.000000;19.88;;538;5881.00;1.03;0.94
Kepler-106 e;1;43.84444353;0.239969;2.621;;0.000000;;71;;;;0.96
Kepler-106 e;1;43.84444353;0.240060;2.621;;;20.10;;;5860.00;1.05;0.96
Kepler-106 e;1;43.84450000;;2.560;;;;1.950;;5858.00;1.04;1.00
Kepler-106 e;1;43.84444353;0.238800;2.580;89.380;0.000000;19.88;;538;5881.00;1.03;0.94
Kepler-106 e;1;43.84444353;0.238800;2.580;89.380;0.000000;19.88;;538;5881.00;1.03;0.94
Kepler-106 e;1;43.84439721;0.239500;2.870;88.270;0.000000;18.77;;531;5854.00;1.01;0.95
Kepler-106 e;1;;;2.969;;;20.29;;;5860.00;1.05;
Kepler-106 e;1;43.84445000;0.244000;2.520;89.950;0.000000;;;533;5865.00;1.04;1.00
Kepler-1060 b;1;46.87827068;;;;;;;;5688.00;1.12;1.01
Kepler-1060 b;1;46.87767240;;;;;;;;5688.00;1.12;1.01
Kepler-1060 b;1;;;3.034;;;17.42;;;5500.00;1.15;
Kepler-1060 b;1;46.87882000;0.250000;2.300;88.810;0.000000;;;525;5837.00;1.04;0.95
Kepler-1060 b;1;46.87793670;0.238000;2.390;88.810;0.000000;16.85;;517;5790.00;0.97;0.82
Kepler-1060 b;1;46.87793670;;2.380;;;;;;5797.00;0.99;0.99
Kepler-1060 b;1;46.87895600;;;;;;;;5688.00;1.12;1.01
Kepler-1060 b;1;46.87767240;0.249500;2.620;87.750;0.000000;13.01;;484;5504.00;0.99;0.94
Kepler-1060 b;1;46.87793670;0.238000;2.390;88.810;0.000000;16.85;;517;5790.00;0.97;0.82
Kepler-1060 b;1;46.87793670;0.238000;2.390;88.810;0.000000;16.85;;517;5790.00;0.97;0.82
Kepler-1061 b;1;2.75800600;0.041000;1.940;87.090;0.000000;;;1595;6424.00;1.30;1.18
Kepler-1061 b;1;2.75798267;0.039500;2.240;73.340;0.000000;1374.41;;1553;6419.00;1.19;1.07
Kepler-1061 b;1;2.75797905;;;;;;;;6126.00;0.98;1.16
Kepler-1061 b;1;2.75800485;;;;;;;;6126.00;0.98;1.16
Kepler-1061 b;1;2.75797738;0.038400;1.690;80.180;0.000000;744.97;;1332;5919.00;1.00;0.99
Kepler-1061 b;1;;;1.692;;;788.50;;;5994.00;1.00;
Kepler-1061 b;1;2.75798267;0.039500;2.240;73.340;0.000000;1374.41;;1553;6419.00;1.19;1.07
Kepler-1061 b;1;2.75798267;0.039500;2.240;73.340;0.000000;1374.41;;1553;6419.00;1.19;1.07
Kepler-1061 b;1;2.75798267;0.038800;1.869;;;757.00;;;5994.00;0.99;1.02
Kepler-1061 b;1;2.75797738;;;;;;;;6126.00;0.98;1.16
Kepler-1061 b;1;2.75798267;;1.980;;;;;;6067.00;1.07;1.09
Kepler-1062 b;1;9.30412078;0.074800;1.640;89.380;0.000000;27.35;;583;4458.00;0.66;0.65
Kepler-1062 b;1;9.30413878;0.074800;1.670;89.160;0.000000;27.35;;583;4458.00;0.66;0.65
Kepler-1062 b;1;9.30423600;0.074000;1.580;88.810;0.000000;;;554;4451.00;0.59;0.62
Kepler-1062 b;1;9.30419319;;;;;;;;4412.00;0.78;0.69
Kepler-1062 b;1;;;1.851;;;33.76;;;4457.00;0.73;
Kepler-1062 b;1;9.30412078;;1.760;;;;;;4597.00;0.70;0.75
Kepler-1062 b;1;9.30413878;;;;;;;;4412.00;0.78;0.69
Kepler-1062 b;1;9.30412078;0.074800;1.640;89.380;0.000000;27.35;;583;4458.00;0.66;0.65
Kepler-1062 b;1;9.30412078;0.074800;1.640;89.380;0.000000;27.35;;583;4458.00;0.66;0.65
Kepler-1062 b;1;9.30414969;;;;;;;;4412.00;0.78;0.69
Kepler-1063 b;2;14.07969236;;;;;;;;5571.73;;
Kepler-1063 b;2;14.07971049;;;;;;;;5571.73;;
Kepler-1063 b;2;14.07969236;0.117600;2.080;89.530;0.000000;177.81;;931;5821.00;1.55;1.09
Kepler-1063 b;2;14.07971466;;1.490;;;;;;5945.00;1.14;1.09
Kepler-1063 b;2;14.07969800;0.109000;1.260;89.380;0.000000;;;686;5530.00;0.86;0.87
Kepler-1063 b;2;14.07971466;0.110500;1.150;89.950;0.000000;54.93;;694;5568.00;0.88;0.91
Kepler-1063 b;2;14.07971466;0.110500;1.150;89.950;0.000000;54.93;;694;5568.00;0.88;0.91
Kepler-1063 b;2;14.07971466;0.110500;1.150;89.950;0.000000;54.93;;694;5568.00;0.88;0.91
Kepler-1064 b;1;16.54077478;;;;;;;;5079.48;;
Kepler-1064 b;1;16.54080322;0.112600;1.260;89.950;0.000000;19.71;;537;5094.00;0.64;0.69
Kepler-1064 b;1;16.54081386;0.118300;1.570;88.920;0.000000;24.87;;570;5064.00;0.77;0.81
Kepler-1064 b;1;16.54080322;0.112600;1.260;89.950;0.000000;19.71;;537;5094.00;0.64;0.69
Kepler-1064 b;1;16.54077825;;;;;;;;5079.48;;
Kepler-1064 b;1;16.54080322;0.112600;1.260;89.950;0.000000;19.71;;537;5094.00;0.64;0.69
Kepler-1064 b;1;16.54091000;0.119000;1.510;88.810;0.000000;;;560;5176.00;0.71;0.81
Kepler-1064 b;1;16.54080322;;1.550;;;;;;5153.00;0.79;0.85
Kepler-1064 b;1;16.54081386;;;;;;;;5079.48;;
Kepler-1065 b;1;3.60931306;;;;;;;;5469.00;0.97;0.96
Kepler-1065 b;1;3.60931306;0.045500;3.260;88.420;0.000000;336.16;;1092;5668.00;0.87;0.96
Kepler-1065 b;1;3.60930891;0.045500;3.470;88.810;0.000000;336.16;;1092;5668.00;0.87;0.96
Kepler-1065 b;1;;;3.640;;;419.91;;;5663.00;0.97;
Kepler-1065 b;1;3.60930891;0.045500;3.470;88.810;0.000000;336.16;;1092;5668.00;0.87;0.96
Kepler-1065 b;1;3.60931900;0.046000;3.100;88.240;0.000000;;;1053;5443.00;0.89;1.01
Kepler-1065 b;1;3.60931176;;;;;;;;5469.00;0.97;0.96
Kepler-1065 b;1;3.60931465;;;;;;;;5469.00;0.97;0.96
Kepler-1065 b;1;3.60930891;0.045500;3.470;88.810;0.000000;336.16;;1092;5668.00;0.87;0.96
Kepler-1065 b;1;3.60930891;;3.730;;;;;;5635.00;0.93;0.94
Kepler-1065 c;1;;;1.444;;;734.62;;;5663.00;0.97;
Kepler-1065 c;1;2.37030743;0.034400;1.560;87.660;0.000000;588.10;;1256;5668.00;0.87;0.96
Kepler-1065 c;1;2.37029320;;;;;;;;5469.00;0.97;0.96
Kepler-1065 c;1;2.37030743;0.034400;1.560;87.660;0.000000;588.10;;1256;5668.00;0.87;0.96
Kepler-1065 c;1;2.37029320;0.034400;1.290;89.980;0.000000;588.10;;1256;5668.00;0.87;0.96
Kepler-1065 c;1;2.37030743;0.034400;1.560;87.660;0.000000;588.10;;1256;5668.00;0.87;0.96
Kepler-1065 c;1;2.37030743;;1.600;;;;;;5635.00;0.93;0.94
Kepler-1066 b;1;1.93155971;;;;;;;;5560.36;0.87;0.98
Kepler-1066 b;1;1.93155984;;2.360;;;;;;5762.00;0.98;0.98
Kepler-1066 b;1;1.93155984;0.028400;2.550;83.080;0.000000;1239.60;;1513;5642.00;1.05;0.82
Kepler-1066 b;1;1.93155757;;;;;;;;5560.36;0.87;0.98
Kepler-1066 b;1;1.93155984;0.028400;2.550;83.080;0.000000;1239.60;;1513;5642.00;1.05;0.82
Kepler-1066 b;1;;;2.254;;;710.02;;;5558.00;0.86;
Kepler-1066 b;1;1.93156350;0.029000;2.640;82.510;0.000000;;;1543;5654.00;1.11;0.89
Kepler-1066 b;1;1.93155546;0.029900;2.250;80.370;0.000000;655.43;;1290;5461.00;0.86;0.96
Kepler-1066 b;1;1.93155984;0.028400;2.550;83.080;0.000000;1239.60;;1513;5642.00;1.05;0.82
Kepler-1066 b;1;1.93155546;;;;;;;;5560.36;0.87;0.98
Kepler-1066 b;1;1.93155984;0.029800;2.067;;;696.70;;;5558.00;0.85;0.94
Kepler-1067 b;1;0.76213231;;;;;;;;5461.00;0.94;0.95
Kepler-1067 b;1;0.76212926;0.016400;762;;;2611.90;;;5584.00;0.90;1.01
Kepler-1067 b;1;0.76212926;0.015800;700;86.520;0.000000;2435.53;;1792;5614.00;0.83;0.91
Kepler-1067 b;1;;;734;;;2761.76;;;5584.00;0.91;
Kepler-1067 b;1;0.76212926;0.015800;700;86.520;0.000000;2435.53;;1792;5614.00;0.83;0.91
Kepler-1067 b;1;0.76212989;;;;;;;;5461.00;0.94;0.95
Kepler-1067 b;1;0.76212926;;800;;;;;;5592.00;0.93;0.95
Kepler-1067 b;1;0.76212926;0.015800;700;86.520;0.000000;2435.53;;1792;5614.00;0.83;0.91
Kepler-1067 b;1;0.76213231;0.016200;750;84.880;0.000000;2913.14;;1872;5594.00;0.93;0.98
Kepler-1067 c;1;5.42587228;0.060690;1.439;;;190.80;;;5584.00;0.90;1.01
Kepler-1067 c;1;5.42586799;;;;;;;;5461.00;0.94;0.95
Kepler-1067 c;1;5.42586901;0.060100;1.480;89.650;0.000000;211.66;;973;5594.00;0.93;0.98
Kepler-1067 c;1;5.42587228;0.058500;1.330;89.380;0.000000;177.66;;931;5614.00;0.83;0.91
Kepler-1067 c;1;5.42583990;;1.747;;;;;;5594.00;0.93;0.98
Kepler-1067 c;1;5.42587228;0.058500;1.330;89.380;0.000000;177.66;;931;5614.00;0.83;0.91
Kepler-1067 c;1;5.42586901;;;;;;;;5461.00;0.94;0.95
Kepler-1067 c;1;5.42587228;0.058500;1.330;89.380;0.000000;177.66;;931;5614.00;0.83;0.91
Kepler-1067 c;1;5.42594400;0.059000;1.270;89.380;0.000000;;;919;5597.00;0.82;0.92
Kepler-1068 b;1;16.92342940;;;;;;;;5645.00;1.02;1.00
Kepler-1068 b;1;16.92344113;0.134000;3.630;89.950;0.000000;68.98;;735;6063.00;1.01;1.12
Kepler-1068 b;1;16.92344113;0.130380;3.513;;;53.10;;;5684.00;0.98;1.03
Kepler-1068 b;1;16.92333000;0.132000;3.400;87.660;0.000000;;;689;5805.00;0.95;1.07
Kepler-1068 b;1;16.92342126;;;;;;;;5645.00;1.02;1.00
Kepler-1068 b;1;16.92344113;;3.630;;;;;;5806.00;1.01;1.01
Kepler-1068 b;1;;;3.470;;;55.93;;;5684.00;1.01;
Kepler-1068 b;1;16.92344113;0.134000;3.630;89.950;0.000000;68.98;;735;6063.00;1.01;1.12
Kepler-1068 b;1;16.92344113;0.134000;3.630;89.950;0.000000;68.98;;735;6063.00;1.01;1.12
Kepler-1068 b;1;16.92339149;;;;;;;;5645.00;1.02;1.00
Kepler-1068 b;1;16.92342126;0.130900;3.400;88.930;0.000000;57.37;;702;5786.00;0.99;1.04
Kepler-1069 b;1;23.89836084;;;;;;;;5562.56;1.65;0.98
Kepler-1069 b;1;23.89902960;0.165870;2.636;;;78.00;;;5579.00;1.57;1.06
Kepler-1069 b;1;23.89902960;;1.600;;;;;;5722.00;0.98;0.99
Kepler-1069 b;1;23.89920000;0.166000;2.210;89.950;0.000000;;;666;5556.00;1.23;1.07
Kepler-1069 b;1;23.89900750;0.168500;3.260;89.240;0.000000;108.30;;823;5511.00;1.93;1.11
Kepler-1069 b;1;23.89902960;0.163200;2.020;87.090;0.000000;54.65;;693;5790.00;1.20;1.01
Kepler-1069 b;1;23.89900750;;;;;;;;5562.56;1.65;0.98
Kepler-1069 b;1;23.89902960;0.163200;2.020;87.090;0.000000;54.65;;693;5790.00;1.20;1.01
Kepler-1069 b;1;23.89902960;0.163200;2.020;87.090;0.000000;54.65;;693;5790.00;1.20;1.01
Kepler-1069 b;1;23.89882644;;;;;;;;5562.56;1.65;0.98
Kepler-1069 b;1;;;2.696;;;78.17;;;5579.00;1.60;
Kepler-107 b;1;3.17996241;;;;;;;;5805.00;1.50;1.04
Kepler-107 b;1;3.18004136;;;;;;;;5805.00;1.50;1.04
Kepler-107 b;1;3.17996200;0.045000;1.580;69.900;0.000000;;;1345;5949.00;1.18;1.18
Kepler-107 b;1;3.18002464;0.044100;1.550;87.660;0.000000;1073.75;;1460;5851.00;1.41;1.14
Kepler-107 b;1;3.18002600;;1.581;;0.020000;;;;5805.00;1.50;1.04
Kepler-107 b;1;3.18002180;0.045440;1.536;89.050;0.100000;1073.00;1.440;1592;5854.00;1.45;1.24
Kepler-107 b;1;3.18002464;0.044100;1.550;87.660;0.000000;1073.75;;1460;5851.00;1.41;1.14
Kepler-107 b;1;3.18002464;;1.550;;;;;;5886.00;1.42;1.16
Kepler-107 b;1;3.17999700;0.044000;1.560;;;;;;5851.00;1.41;
Kepler-107 b;1;3.18002464;0.044100;1.550;87.660;0.000000;1073.75;;1460;5851.00;1.41;1.14
Kepler-107 b;1;3.18002790;;;;;;;;5805.00;1.50;1.04
Kepler-107 b;1;;;1.592;;;1175.38;;;5866.00;1.46;
Kepler-107 b;1;3.18002790;0.043900;1.530;88.340;0.000000;1066.86;;1458;5847.00;1.40;1.11
Kepler-107 b;1;3.18002180;0.045440;1.536;89.050;0.000000;;1.320;1593;5854.00;1.45;1.24
Kepler-107 b;1;3.18002464;0.045190;1.587;;;1078.20;;;5866.00;1.44;1.22
Kepler-107 c;1;4.90143807;0.060290;1.878;;;605.70;;;5866.00;1.44;1.22
Kepler-107 c;1;4.90142870;;;;;;;;5805.00;1.50;1.04
Kepler-107 c;1;4.90143807;0.058900;1.840;81.930;0.000000;601.94;;1263;5851.00;1.41;1.14
Kepler-107 c;1;4.90143807;0.058900;1.840;81.930;0.000000;601.94;;1263;5851.00;1.41;1.14
Kepler-107 c;1;4.90146700;0.060000;1.710;75.630;0.000000;;;1165;5949.00;1.18;1.18
Kepler-107 c;1;4.90144100;;1.664;;0.020000;;;;5805.00;1.50;1.04
Kepler-107 c;1;;;1.775;;;659.65;;;5866.00;1.46;
Kepler-107 c;1;4.90145055;;;;;;;;5805.00;1.50;1.04
Kepler-107 c;1;4.90142500;0.059000;1.810;;;;;;5851.00;1.41;
Kepler-107 c;1;4.90144976;;;;;;;;5805.00;1.50;1.04
Kepler-107 c;1;4.90144976;0.058600;1.700;86.100;0.000000;598.74;;1262;5847.00;1.40;1.11
Kepler-107 c;1;4.90145200;0.060640;1.597;89.490;0.000000;;3.060;1379;5854.00;1.45;1.24
Kepler-107 c;1;4.90143807;0.058900;1.840;81.930;0.000000;601.94;;1263;5851.00;1.41;1.14
Kepler-107 c;1;4.90145200;0.060640;1.597;89.490;0.080000;602.00;3.290;1378;5854.00;1.45;1.24
Kepler-107 c;1;4.90143807;;1.860;;;;;;5886.00;1.42;1.16
Kepler-107 d;1;;;1.102;;;346.11;;;5866.00;1.46;
Kepler-107 d;1;7.95830216;0.081300;1.070;89.380;0.000000;315.94;;1075;5851.00;1.41;1.14
Kepler-107 d;1;7.95825328;0.080900;1.060;85.950;0.000000;314.15;;1074;5847.00;1.40;1.11
Kepler-107 d;1;7.95792901;;;;;;;;5805.00;1.50;1.04
Kepler-107 d;1;7.95839000;0.083770;860;87.550;0.000000;;1.060;1173;5854.00;1.45;1.24
Kepler-107 d;1;7.95825000;;1.064;;0.140000;;;;5805.00;1.50;1.04
Kepler-107 d;1;7.95820300;0.082000;1.070;;;;;;5851.00;1.41;
Kepler-107 d;1;7.95830216;0.083280;1.091;;;317.50;;;5866.00;1.44;1.22
Kepler-107 d;1;7.95825328;;;;;;;;5805.00;1.50;1.04
